fid,osm_id,name,highway,angle,xcoord,ycoord
1,"12109179",North Independence Mall East,secondary,9.690751635326446,-75.148482500000000,39.952590800000003
1,"12109179",North Independence Mall East,secondary,9.254043698688251,-75.148423077614538,39.952884762390731
2,"12111583",Boudine Street,service,12.101323990757097,-75.145378199999996,39.949277400000000
2,"12111583",Boudine Street,service,12.101323990757097,-75.145315307652751,39.949570733517795
2,"12111583",Boudine Street,service,12.101323990757097,-75.145252415305521,39.949864067035577
3,"12112672",South 4th Street,residential,198.047050230556948,-75.147264300000003,39.950325700000000
3,"12112672",South 4th Street,residential,192.213909716854403,-75.147335569195562,39.950034599839761
3,"12112672",South 4th Street,residential,192.220396626295241,-75.147399053058948,39.949741393770921
3,"12112672",South 4th Street,residential,186.312364762889842,-75.147458203360287,39.949447481623082
3,"12112672",South 4th Street,residential,192.278073346555885,-75.147513857770832,39.949153016566832
3,"12112672",South 4th Street,residential,191.706436728139522,-75.147577207049721,39.948859783368626
4,"12114293",Bingham Court,footway,278.265067581978371,-75.147386600000004,39.946280000000002
4,"12114293",Bingham Court,footway,277.054251734216848,-75.147683551211500,39.946322626738542
4,"12114293",Bingham Court,footway,193.219835860061579,-75.147802986604816,39.946103538976764
5,"12114967",Appletree Street,residential,97.149947066747274,-75.153030999999999,39.953651000000001
5,"12114967",Appletree Street,residential,97.149947066747274,-75.152733332856272,39.953613660054238
5,"12114967",Appletree Street,residential,97.149947066747274,-75.152435665712559,39.953576320108475
5,"12114967",Appletree Street,residential,97.145830064276311,-75.152137995929522,39.953539001400515
5,"12114967",Appletree Street,residential,97.145830064276311,-75.151840326103510,39.953501682843793
5,"12114967",Appletree Street,residential,97.145830064276311,-75.151542656277471,39.953464364287079
6,"12115279",Market Street,closed,277.602555203744203,-75.141601657408614,39.949868421095587
6,"12115279",Market Street,closed,277.602555203744203,-75.141899020300940,39.949908111274105
6,"12115279",Market Street,closed,276.825737575718392,-75.142196606349145,39.949946058252920
6,"12115279",Market Street,closed,271.375148981808366,-75.142495548819809,39.949970127646566
6,"12115279",Market Street,closed,269.788577420249510,-75.142795504440045,39.949971924706858
6,"12115279",Market Street,closed,268.223493916729467,-75.143095431319765,39.949966201838755
6,"12115279",Market Street,closed,268.223493916729467,-75.143395287126623,39.949956901564974
7,"12115833",Little Boys Court,service,191.385381185021657,-75.143948199999997,39.952025200000001
7,"12115833",Little Boys Court,service,192.489190399797337,-75.144011673087860,39.951732002226954
7,"12115833",Little Boys Court,service,192.489190399797337,-75.144076549713574,39.951439101179773
9,"12116719",Ionic Street,service,276.573449469545267,-75.152445999999998,39.948931999999999
9,"12116719",Ionic Street,service,276.573449469545267,-75.152744027776038,39.948966343044503
9,"12116719",Ionic Street,service,276.573449469545267,-75.153042055552092,39.949000686089008
9,"12116719",Ionic Street,service,276.573449469545267,-75.153340083328132,39.949035029133512
9,"12116719",Ionic Street,service,276.573449469545267,-75.153638111104172,39.949069372178016
9,"12116719",Ionic Street,service,276.573449469545267,-75.153936138880226,39.949103715222520
10,"12116728",Ionic Street,service,277.095753955099724,-75.142571000000004,39.947702399999997
10,"12116728",Ionic Street,service,277.115240739272963,-75.142868693794284,39.947739526844344
10,"12116728",Ionic Street,service,277.115240739272963,-75.143166383501679,39.947776686474469
10,"12116728",Ionic Street,service,277.115240739272963,-75.143464073209074,39.947813846104587
10,"12116728",Ionic Street,service,277.115240739272963,-75.143761762916469,39.947851005734705
10,"12116728",Ionic Street,service,277.115240739272963,-75.144059452623878,39.947888165364830
11,"12117020",Manning Street,residential,97.329117757310343,-75.154669699999999,39.946196100000002
11,"12117020",Manning Street,residential,97.329117757310343,-75.154372151077951,39.946157829397904
11,"12117020",Manning Street,residential,97.198004563392374,-75.154074559341964,39.946119894658096
11,"12117020",Manning Street,residential,97.198004563392374,-75.153776923622260,39.946082305053743
11,"12117020",Manning Street,residential,97.198004563392374,-75.153479287902556,39.946044715449403
11,"12117020",Manning Street,residential,97.221419700504569,-75.153181652909069,39.946007120104248
13,"12119917",Church Street,service,94.321212030782419,-75.143602900000005,39.950507399999999
13,"12119917",Church Street,service,96.980197361522940,-75.143304838528294,39.950473822596969
13,"12119917",Church Street,service,96.980197361522940,-75.143007062064399,39.950437364709643
13,"12119917",Church Street,service,93.510419607540129,-75.142709131042807,39.950402590374395
13,"12119917",Church Street,service,96.760007644691953,-75.142410670349108,39.950373356316277
13,"12119917",Church Street,service,96.760007644691953,-75.142112755975518,39.950338043060896
14,"12120461",Thomas Paine Place,residential,97.246779402366755,-75.146460399999995,39.946631199999999
14,"12120461",Thomas Paine Place,residential,97.246779402366755,-75.146162796387472,39.946593357037507
14,"12120461",Thomas Paine Place,residential,97.241117060426291,-75.145865190316499,39.946555533416202
14,"12120461",Thomas Paine Place,residential,97.241117060426291,-75.145567582965541,39.946517719865021
14,"12120461",Thomas Paine Place,residential,82.312187335494301,-75.145269977170926,39.946480305564741
15,"12120673",Florist Street,residential,297.363546922450098,-75.141932699999998,39.954022600000002
16,"12121842",South Washington Square,residential,277.727262351204956,-75.151443000000000,39.946103999999998
16,"12121842",South Washington Square,residential,277.002199559640758,-75.151740618876559,39.946141682977313
16,"12121842",South Washington Square,residential,276.998663751197228,-75.152038381944820,39.946178250108922
16,"12121842",South Washington Square,residential,276.998663751197228,-75.152336146642895,39.946214803967507
16,"12121842",South Washington Square,residential,276.993422321905882,-75.152633912123562,39.946251351448844
16,"12121842",South Washington Square,residential,276.993422321905882,-75.152931680164329,39.946287878067693
17,"12133404",Dock Street,residential,273.429353919590426,-75.144495000000006,39.946477000000002
17,"12133404",Dock Street,residential,273.398285755560664,-75.144794469889590,39.946494826386370
18,"12133443",South 2nd Street,tertiary,197.482375176702277,-75.143733100000006,39.949952900000000
19,"12133967",South Darien Street,residential,11.896188479379894,-75.155317571102557,39.947064515577807
20,"12134166",Saint James Place,footway,278.644316145138703,-75.145408500000002,39.945925199999998
20,"12134166",Saint James Place,footway,278.586128112725135,-75.145705128657198,39.945970048911882
20,"12134166",Saint James Place,footway,277.081766888986408,-75.146002109087988,39.945993341386199
20,"12134166",Saint James Place,footway,277.089577492023125,-75.146299819891397,39.946030331619653
21,"12134171",Saint James Place,residential,97.113124317383566,-75.151251500000001,39.947017099999997
21,"12134171",Saint James Place,residential,97.116063417517267,-75.150953810446509,39.946979939137421
21,"12134171",Saint James Place,residential,97.116063417517267,-75.150656121272704,39.946942775232941
22,"12134176",Saint James Place,service,277.938448918371250,-75.147465100000005,39.945940299999997
22,"12134176",Saint James Place,service,277.938448918371250,-75.147762225101999,39.945981732761958
22,"12134176",Saint James Place,service,278.723458727287607,-75.148058889305290,39.946026312964854
23,"12134539",Walnut Street,tertiary,278.313889308338787,-75.142805999999993,39.946641000000000
23,"12134539",Walnut Street,tertiary,278.313889308338787,-75.143102847229798,39.946684378821544
23,"12134539",Walnut Street,tertiary,278.054414447846966,-75.143399785670042,39.946727123443878
23,"12134539",Walnut Street,tertiary,277.709477692400867,-75.143697049367773,39.946767546235783
23,"12134539",Walnut Street,tertiary,277.732395209781430,-75.143994325460454,39.946807881357984
23,"12134539",Walnut Street,tertiary,277.732395209781430,-75.144291597645974,39.946848245298661
24,"12136534",Appletree Court,service,276.841323901957196,-75.141636199999994,39.952343399999997
24,"12136534",Appletree Court,service,276.841323901957196,-75.141934063955716,39.952379136030615
