                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7658,                 3.0554,                 1.9696,                 1.4942,                0.44075,                0.85437,                0.66794,                0.35953,                0.44075,                0.85437,                0.65948,                0.34085,                 1.2894,                  2.382,                 6.2686,                 1.2163,                0.00052,                0.00052,                0.00052
                      2,                 1.5936,                 2.1307,                 1.3237,                 1.3415,                0.31875,                0.61165,                0.30141,                0.16722,                0.30357,                0.58252,                0.27563,                0.11033,                 1.6707,                 8.4984,                 4.2928,                 1.5245,               0.001059,               0.001059,               0.001059
                      3,                 1.6336,                 2.1654,                 1.3643,                 1.3691,                0.01875,                0.45631,                0.01356,                 0.0064,                0.01684,                0.41748,                0.01143,                0.00469,                 2.3649,                 32.881,                 59.834,                 3.6019,              0.0015968,              0.0015968,              0.0015968
                      4,                 1.6954,                 2.1691,                 1.4255,                 1.4157,                0.50888,                0.53318,                0.50399,                0.29231,                0.51815,                0.54289,                0.50409,                0.28486,                  1.936,                 6.3939,                 1.9602,                 2.1498,              0.0019941,              0.0019941,              0.0019941
                      5,                 1.6683,                 2.1261,                 1.3307,                 1.3821,                0.40154,                0.60194,                0.38981,                0.21755,                0.38859,                0.58252,                 0.3755,                0.20915,                  1.532,                 2.5783,                 2.8746,                 1.6026,              0.0019941,              0.0019941,              0.0019941
                      6,                 1.6639,                 2.0657,                 1.2798,                  1.399,                0.43429,                0.61165,                0.44682,                0.20458,                0.42739,                0.60194,                0.41976,                 0.1991,                 1.8617,                 3.0562,                 2.3649,                  2.018,              0.0019921,              0.0019921,              0.0019921
                      7,                 1.5946,                 2.0675,                 1.2315,                 1.3863,                0.71747,                0.58252,                0.66792,                0.37238,                0.76526,                0.52427,                0.66112,                0.35548,                 1.6935,                 1.8664,                 1.7065,                 1.7017,              0.0019901,              0.0019901,              0.0019901
                      8,                 1.6224,                 2.1072,                 1.2713,                 1.3804,                0.58664,                0.62004,                0.55844,                0.28023,                0.58664,                0.62004,                0.53833,                0.27238,                 1.7907,                 2.1483,                 1.7649,                 1.6707,              0.0019881,              0.0019881,              0.0019881
                      9,                 1.5377,                 2.0012,                  1.197,                 1.3232,                0.75193,                0.42718,                0.53292,                0.30439,                0.69746,                0.39806,                0.48813,                0.23913,                 1.7233,                 2.6762,                 1.5166,                 1.6068,              0.0019861,              0.0019861,              0.0019861
                     10,                 1.5361,                 1.9755,                  1.144,                 1.3453,                 0.7529,                0.73956,                0.78873,                0.45398,                0.75472,                0.74685,                0.76724,                0.39994,                 1.5975,                 1.6997,                 1.2924,                 1.6105,              0.0019842,              0.0019842,              0.0019842
                     11,                  1.528,                 1.9069,                 1.1459,                 1.3517,                0.84226,                0.74757,                0.82347,                0.47498,                0.85535,                0.71845,                0.81922,                0.45011,                 1.5263,                 1.8353,                 1.3384,                 1.4822,              0.0019822,              0.0019822,              0.0019822
                     12,                 1.4996,                  1.951,                 1.1257,                 1.3127,                0.83606,                0.69322,                0.80616,                0.44717,                0.75715,                0.69623,                0.76779,                 0.4453,                 1.6273,                  1.776,                 1.2527,                 1.4129,              0.0019802,              0.0019802,              0.0019802
